gpu,1080p Ultra,1080p Medium,1440p Ultra,4K Ultra,Specifications (Links to Review)
GeForce RTX 4090,154.1,195.7,146.1,114.5,https://www.tomshardware.com/reviews/nvidia-geforce-rtx-4090-review
Radeon RX 7900 XTX,149.0,190.3,135.3,95.1,https://www.tomshardware.com/reviews/amd-radeon-rx-7900-xtx-and-xt-review-shooting-for-the-top
GeForce RTX 4080 Super,148.3,192.7,133.0,91.9,https://www.tomshardware.com/pc-components/gpus/nvidia-geforce-rtx-4080-super-review
GeForce RTX 4080,147.0,192.0,130.4,89.3,https://www.tomshardware.com/reviews/nvidia-geforce-rtx-4080-review
Radeon RX 7900 XT,143.9,187.6,125.9,81.2,https://www.tomshardware.com/reviews/amd-radeon-rx-7900-xtx-and-xt-review-shooting-for-the-top
GeForce RTX 4070 Ti Super,142.3,189.4,122.0,78.6,https://www.tomshardware.com/pc-components/gpus/nvidia-geforce-rtx-4070-ti-super-review
GeForce RTX 4070 Ti,138.3,187.2,116.5,73.0,https://www.tomshardware.com/reviews/nvidia-geforce-rtx-4070-ti-review-a-costly-70-class-gpu
Radeon RX 7900 GRE,135.8,184.3,113.9,69.3,https://www.tomshardware.com/pc-components/gpus/amd-radeon-rx-7900-gre-review
GeForce RTX 4070 Super,134.2,185.1,109.8,66.1,https://www.tomshardware.com/pc-components/gpus/nvidia-geforce-rtx-4070-super-review-boosted-clocks-and-core-counts-for-the-same-dollar599-as-the-vanilla-4070
Radeon RX 6950 XT,130.5,179.4,110.1,67.1,https://www.tomshardware.com/reviews/amd-radeon-rx-6950-xt-review
GeForce RTX 3090 Ti,130.5,177.1,112.7,75.9,https://www.tomshardware.com/reviews/asus-geforce-rtx-3090-ti-review
Radeon RX 7800 XT,129.3,179.1,105.8,62.3,https://www.tomshardware.com/reviews/amd-radeon-rx-7800-xt-review
GeForce RTX 3090,125.5,174.0,106.0,70.7,https://www.tomshardware.com/reviews/nvidia-geforce-rtx-3090-review
Radeon RX 6900 XT,124.6,175.3,102.1,61.2,https://www.tomshardware.com/reviews/amd-radeon-rx-6900-xt-review
GeForce RTX 3080 Ti,123.9,171.8,103.9,68.8,https://www.tomshardware.com/news/nvidia-geforce-rtx-3080-ti-review
Radeon RX 6800 XT,122.7,173.2,99.0,57.9,https://www.tomshardware.com/news/the-amd-radeon-rx-6800-xt-and-rx-6800-review
GeForce RTX 3080 12GB,122.1,169.4,102.3,66.7,https://www.tomshardware.com/reviews/msi-geforce-rtx-3080-12gb-suprim-x
GeForce RTX 4070,122.0,177.5,97.8,57.2,https://www.tomshardware.com/reviews/nvidia-geforce-rtx-4070-review
GeForce RTX 3080,117.0,167.6,96.4,62.0,https://www.tomshardware.com/reviews/nvidia-geforce-rtx-3080-review
Radeon RX 7700 XT,116.1,171.6,92.7,51.5,https://www.tomshardware.com/reviews/amd-radeon-rx-7700-xt-review
Radeon RX 6800,114.6,168.7,89.2,50.7,https://www.tomshardware.com/news/the-amd-radeon-rx-6800-xt-and-rx-6800-review
GeForce RTX 3070 Ti,104.0,159.8,82.8,47.7,https://www.tomshardware.com/news/nvidia-geforce-rtx-3070-ti-review
Radeon RX 6750 XT,102.9,161.6,77.2,42.8,https://www.tomshardware.com/reviews/amd-radeon-rx-6750-xt-review
GeForce RTX 4060 Ti 16GB,100.6,161.7,75.7,41.6,https://www.tomshardware.com/reviews/nvidia-geforce-rtx-4060-ti-16gb-review
GeForce RTX 4060 Ti,100.4,160.1,75.6,39.6,https://www.tomshardware.com/reviews/nvidia-geforce-rtx-4060-ti-review
Titan RTX,99.3,156.6,79.5,47.8,"https://www.tomshardware.com/reviews/nvidia-titan-rtx-deep-learning-gaming-tensor,5971.html"
Radeon RX 6700 XT,99.1,158.1,73.4,40.4,https://www.tomshardware.com/reviews/amd-radeon-rx-6700-xt-review
GeForce RTX 3070,98.8,154.8,77.7,44.4,https://www.tomshardware.com/reviews/nvidia-geforce-rtx-3070-founders-edition-review
GeForce RTX 2080 Ti,96.3,151.0,75.6,43.5,"https://www.tomshardware.com/reviews/nvidia-geforce-rtx-2080-ti-founders-edition,5805.html"
Radeon RX 7600 XT,91.9,151.2,65.9,37.1,https://www.tomshardware.com/pc-components/gpus/amd-radeon-rx-7600-xt-review
GeForce RTX 3060 Ti,90.7,146.9,70.0,0.0,https://www.tomshardware.com/reviews/nvidia-geforce-rtx-3060-ti-founders-edition-review
Radeon RX 6700 10GB,86.1,145.7,62.8,32.9,https://www.tomshardware.com/news/sapphire-rx-6700-10gb-299-dollars
GeForce RTX 2080 Super,86.0,141.3,66.1,36.7,"https://www.tomshardware.com/reviews/nvidia-geforce-rtx-2080-super-turing-ray-tracing,6243.html"
GeForce RTX 4060,84.9,142.3,61.2,31.9,https://www.tomshardware.com/reviews/nvidia-geforce-rtx-4060-review-asus-dual
GeForce RTX 2080,82.5,136.7,63.2,0.0,"https://www.tomshardware.com/reviews/nvidia-geforce-rtx-2080-founders-edition,5809.html"
Radeon RX 7600,82.0,141.4,57.3,29.1,https://www.tomshardware.com/reviews/amd-radeon-rx-7600-review
Radeon RX 6650 XT,77.7,137.1,54.5,0.0,https://www.tomshardware.com/reviews/amd-radeon-rx-6650-xt-review
GeForce RTX 2070 Super,77.4,129.6,58.4,0.0,"https://www.tomshardware.com/reviews/nvidia-geforce-rtx-2060-super-geforce-rtx-2070-super,6207.html"
Intel Arc A770 16GB,76.9,116.4,59.8,35.3,https://www.tomshardware.com/reviews/intel-arc-a770-limited-edition-review
Intel Arc A770 8GB,75.3,115.5,57.5,33.2,No link
Radeon RX 6600 XT,74.7,133.5,52.2,0.0,https://www.tomshardware.com/reviews/amd-radeon-rx-6600-xt-review
Radeon RX 5700 XT,73.3,124.9,53.1,29.3,"https://www.tomshardware.com/reviews/amd-radeon-rx_5700-rx_5700_xt,6216.html"
GeForce RTX 3060,72.3,121.0,54.0,0.0,https://www.tomshardware.com/reviews/nvidia-geforce-rtx-3060-review
Intel Arc A750,70.8,110.4,53.7,31.1,https://www.tomshardware.com/reviews/intel-arc-a750-limited-edition-review
GeForce RTX 2070,69.8,119.1,51.8,0.0,"https://www.tomshardware.com/reviews/nvidia-geforce-rtx-2070-founders-edition,5851.html"
Radeon VII,69.5,113.9,53.0,31.5,"https://www.tomshardware.com/reviews/amd-radeon-vii-vega-20-7nm,5977.html"
GeForce GTX 1080 Ti,66.4,110.2,50.2,29.5,"https://www.tomshardware.com/reviews/nvidia-geforce-gtx-1080-ti,4972.html"
GeForce RTX 2060 Super,65.5,112.0,48.3,0.0,"https://www.tomshardware.com/reviews/nvidia-geforce-rtx-2060-super-geforce-rtx-2070-super,6207.html"
Radeon RX 6600,65.2,116.2,44.8,0.0,https://www.tomshardware.com/reviews/amd-radeon-rx-6600-review-xfx
Intel Arc A580,65.1,101.1,48.8,27.9,https://www.tomshardware.com/reviews/intel-arc-a580-review-a-new-budget-contender
Radeon RX 5700,64.5,110.8,46.7,0.0,"https://www.tomshardware.com/reviews/amd-radeon-rx_5700-rx_5700_xt,6216.html"
Radeon RX 5600 XT,57.8,100.0,42.0,0.0,https://www.tomshardware.com/reviews/amd-radeon-rx_5600_xt
Radeon RX Vega 64,56.7,94.3,41.6,23.5,"https://www.tomshardware.com/reviews/amd-radeon-rx-vega-64,5173.html"
GeForce RTX 2060,55.5,100.5,40.1,0.0,"https://www.tomshardware.com/reviews/nvidia-geforce-rtx-2060-ray-tracing-turing,5960.html"
GeForce GTX 1080,53.0,89.9,39.4,0.0,"https://www.tomshardware.com/reviews/best-nvidia-geforce-gtx-1080-graphics-cards,4725.html"
GeForce RTX 3050,51.9,88.8,38.5,0.0,https://www.tomshardware.com/reviews/nvidia-geforce-rtx-3050-review-evga-xc-black
GeForce GTX 1070 Ti,51.1,85.7,37.9,0.0,"https://www.tomshardware.com/reviews/nvidia-geforce-gtx-1070-ti-8gb,5311.html"
Radeon RX Vega 56,50.6,84.2,37.0,0.0,"https://www.tomshardware.com/reviews/radeon-rx-vega-56,5202.html"
GeForce GTX 1660 Super,46.8,85.5,33.3,0.0,https://www.tomshardware.com/reviews/evga-nvidia-geforce-gtx_1660_super-sc-ultra
GeForce GTX 1660 Ti,46.6,84.8,33.3,0.0,"https://www.tomshardware.com/reviews/nvidia-geforce-gtx-1660-ti-turing,6002.html"
GeForce GTX 1070,44.7,75.0,33.1,0.0,"https://www.tomshardware.com/reviews/nvidia-geforce-gtx-1070-8gb-pascal-performance,4585.html"
GeForce GTX 1660,42.6,77.8,30.3,0.0,"https://www.tomshardware.com/reviews/nvidia-geforce-gtx-1660-turing-tu116,6027.html"
Radeon RX 5500 XT 8GB,39.7,72.1,28.2,0.0,https://www.tomshardware.com/reviews/asus-rog-strix-rx-5500-xt-o8g-gaming
Radeon RX 590,39.3,68.5,29.0,0.0,"https://www.tomshardware.com/reviews/amd-radeon-rx-590,5907.html"
GeForce GTX 980 Ti,35.9,62.6,26.6,0.0,"https://www.tomshardware.com/reviews/nvidia-geforce-gtx-980-ti,4164.html"
Radeon RX 580 8GB,35.3,61.7,26.0,0.0,"https://www.tomshardware.com/reviews/amd-radeon-rx-580-review,5020.html"
Radeon R9 Fury X,35.2,63.8,0.0,0.0,"https://www.tomshardware.com/reviews/amd-radeon-r9-fury-x,4196.html"
GeForce GTX 1650 Super,33.9,67.7,21.2,0.0,https://www.tomshardware.com/reviews/nvidia-gtx_1650-super-turing
Radeon RX 5500 XT 4GB,33.3,66.8,0.0,0.0,https://www.tomshardware.com/reviews/amd-radeon-rx-5500-xt-4gb
GeForce GTX 1060 6GB,32.1,57.7,23.0,0.0,"https://www.tomshardware.com/reviews/nvidia-geforce-gtx-1060-pascal,4679.html"
Radeon RX 6500 XT,30.6,65.8,18.0,0.0,https://www.tomshardware.com/reviews/amd-radeon-rx-6500-xt-review-xfx
Radeon R9 390,29.8,51.1,0.0,0.0,"https://www.tomshardware.com/reviews/sapphire-nitro-r9-390-8g-d5,4245.html"
GeForce GTX 980,28.9,53.6,0.0,0.0,"https://www.tomshardware.com/reviews/nvidia-geforce-gtx-980-970-maxwell,3941.html"
GeForce GTX 1650 GDDR6,28.8,56.6,0.0,0.0,https://www.tomshardware.com/reviews/evga-geforce-gtx-1650-gddr6
Intel Arc A380,28.4,54.3,19.5,0.0,https://www.tomshardware.com/reviews/intel-arc-a380-review
Radeon RX 570 4GB,28.1,53.6,19.9,0.0,"https://www.tomshardware.com/reviews/amd-radeon-rx-570-4gb,5028.html"
GeForce GTX 1650,27.0,51.3,0.0,0.0,"https://www.tomshardware.com/reviews/geforce-gtx-1650-turing-gpu,6096.html"
GeForce GTX 970,26.5,49.0,0.0,0.0,"https://www.tomshardware.com/reviews/nvidia-geforce-gtx-980-970-maxwell,3941.html"
Radeon RX 6400,24.1,51.1,0.0,0.0,https://www.tomshardware.com/reviews/amd-radeon-rx-6400-review-budget-in-almost-every-way
GeForce GTX 1050 Ti,19.8,38.0,0.0,0.0,"https://www.tomshardware.com/reviews/nvidia-geforce-gtx-1050-ti,4787.html"
GeForce GTX 1060 3GB,0.0,52.5,0.0,0.0,"https://www.tomshardware.com/reviews/nvidia-geforce-gtx-1060-graphics-card-roundup,4724.html"
GeForce GTX 1630,16.9,33.8,0.0,0.0,https://www.tomshardware.com/reviews/nvidia-geforce-gtx-1630-review
Radeon RX 560 4GB,14.7,31.7,0.0,0.0,"https://www.tomshardware.com/reviews/amd-radeon-rx-560-4gb,5254.html"
GeForce GTX 1050,0.0,29.7,0.0,0.0,"https://www.tomshardware.com/reviews/nvidia-geforce-gtx-1050-ti,4787.html"
Radeon RX 550 4GB,0.0,19.5,0.0,0.0,"https://www.tomshardware.com/reviews/amd-radeon-rx-550-2gb,5034.html"
GeForce GT 1030,0.0,14.6,0.0,0.0,"https://www.tomshardware.com/reviews/nvidia-geforce-gt-1030-2gb,5110.html"
